.venv) harshinisaidonepudi@dhcp-vl2051-348 mle-module-4-93c3173d-HarshiniDonepudi % python project/run_mnist_multiclass.py
Epoch 6 loss 0.7688332693435871 valid acc 14/16
Epoch 6 loss 0.934167836971142 valid acc 14/16
Epoch 6 loss 1.6262091943083845 valid acc 15/16
Epoch 6 loss 1.488270980254024 valid acc 14/16
Epoch 6 loss 1.4363086187474627 valid acc 15/16
Epoch 6 loss 1.240425824745844 valid acc 15/16
Epoch 6 loss 0.7335717238796591 valid acc 15/16
Epoch 6 loss 0.6468444969123853 valid acc 15/16
Epoch 7 loss 0.35326562072198436 valid acc 15/16
Epoch 7 loss 1.1535082252641142 valid acc 14/16
Epoch 7 loss 1.2545507832892069 valid acc 15/16
Epoch 7 loss 0.795322494724583 valid acc 14/16
Epoch 7 loss 0.6821291975271224 valid acc 13/16
Epoch 7 loss 0.5333790084071436 valid acc 14/16
Epoch 7 loss 1.244601146583065 valid acc 14/16
Epoch 7 loss 1.7372437335393527 valid acc 14/16
Epoch 7 loss 0.47908562654097464 valid acc 14/16
Epoch 7 loss 0.7835992000500401 valid acc 14/16
Epoch 7 loss 1.0414076490916473 valid acc 14/16
Epoch 7 loss 1.0143379749455377 valid acc 15/16
Epoch 7 loss 1.7772348188391813 valid acc 14/16
Epoch 7 loss 1.292551341389952 valid acc 15/16
Epoch 7 loss 0.8849589819378451 valid acc 15/16
Epoch 7 loss 1.0777775287627351 valid acc 15/16
Epoch 7 loss 1.4045664990534825 valid acc 15/16
Epoch 7 loss 1.2976853900232432 valid acc 14/16
Epoch 7 loss 0.9542293818209272 valid acc 15/16
Epoch 7 loss 0.6702831680880671 valid acc 15/16
Epoch 7 loss 0.9107156504612874 valid acc 15/16
Epoch 7 loss 1.7004466116276777 valid acc 15/16
Epoch 7 loss 0.5127420140123348 valid acc 13/16
Epoch 7 loss 1.0859561927771748 valid acc 13/16
Epoch 7 loss 0.7760445753211364 valid acc 14/16
Epoch 7 loss 1.121274326967848 valid acc 14/16
Epoch 7 loss 0.9395962373367789 valid acc 15/16
Epoch 7 loss 1.0966553723922414 valid acc 14/16
Epoch 7 loss 0.7279823982163882 valid acc 14/16
Epoch 7 loss 0.15379927699898358 valid acc 13/16
Epoch 7 loss 1.1808573432823293 valid acc 14/16
Epoch 7 loss 1.6329838095750615 valid acc 13/16
Epoch 7 loss 0.5763087614843585 valid acc 14/16
Epoch 7 loss 1.718982434943293 valid acc 14/16
Epoch 7 loss 1.130572412594375 valid acc 15/16
Epoch 7 loss 1.2347905032497684 valid acc 15/16
Epoch 7 loss 1.121651571477296 valid acc 13/16
Epoch 7 loss 0.6317579154700745 valid acc 14/16
Epoch 7 loss 1.3054973642653458 valid acc 14/16
Epoch 7 loss 0.54682075908338 valid acc 15/16
Epoch 7 loss 0.8176549285086114 valid acc 14/16
Epoch 7 loss 1.1883057695048571 valid acc 15/16
Epoch 7 loss 0.7435015355774164 valid acc 15/16
Epoch 7 loss 0.6898074629110273 valid acc 15/16
Epoch 7 loss 0.5151953384396936 valid acc 15/16
Epoch 7 loss 0.3805216781705931 valid acc 15/16
Epoch 7 loss 1.5380693493335602 valid acc 14/16
Epoch 7 loss 1.6145187477484382 valid acc 15/16
Epoch 7 loss 0.46258697287185874 valid acc 15/16
Epoch 7 loss 1.0676724513735574 valid acc 13/16
Epoch 7 loss 0.8904559146091042 valid acc 14/16
Epoch 7 loss 1.134236638488323 valid acc 13/16
Epoch 7 loss 0.6527042491746669 valid acc 15/16
